season,team,conference,off_ppa_overall,off_ppa_passing,off_ppa_rushing,off_success_rate,off_explosiveness,def_ppa_overall,def_ppa_passing,def_ppa_rushing,def_success_rate,def_explosiveness
2019,Syracuse,ACC,0.1,0.11,0.1,,,0.18,0.21,0.17,,
2019,TCU,Big 12,0.13,0.06,0.23,,,0.1,0.19,0.01,,
2019,Temple,American Athletic,0.11,0.2,0.03,,,0.08,0.12,0.05,,
2019,Tennessee,SEC,0.13,0.27,0.02,,,0.1,0.09,0.12,,
2019,Texas,Big 12,0.29,0.35,0.24,,,0.19,0.32,0.05,,
2019,Texas A&M,SEC,0.17,0.21,0.17,,,0.12,0.16,0.07,,
2019,Texas State,Sun Belt,0.03,0.07,-0.05,,,0.21,0.39,0.11,,
2019,Texas Tech,Big 12,0.17,0.21,0.15,,,0.22,0.37,0.1,,
2019,Toledo,Mid-American,0.2,0.24,0.18,,,0.27,0.33,0.23,,
2019,Troy,Sun Belt,0.21,0.29,0.15,,,0.21,0.29,0.15,,
2019,Tulane,American Athletic,0.23,0.24,0.23,,,0.14,0.2,0.1,,
2019,Tulsa,American Athletic,0.13,0.25,0.03,,,0.16,0.31,0.05,,
2019,UAB,Conference USA,0.07,0.18,0.0,,,0.02,0.05,-0.02,,
2019,UCF,American Athletic,0.29,0.38,0.22,,,0.04,0.1,-0.01,,
2019,UCLA,Pac-12,0.14,0.22,0.06,,,0.32,0.49,0.15,,
2019,UConn,American Athletic,0.03,0.03,0.04,,,0.32,0.31,0.33,,
2019,UL Monroe,Sun Belt,0.22,0.2,0.25,,,0.27,0.35,0.23,,
2019,UNLV,Mountain West,0.12,0.08,0.16,,,0.21,0.26,0.18,,
2019,USC,Pac-12,0.25,0.39,0.08,,,0.19,0.22,0.18,,
2019,Utah,Pac-12,0.28,0.51,0.16,,,0.0,0.02,-0.04,,
2019,Utah State,Mountain West,0.13,0.21,0.04,,,0.17,0.28,0.1,,
2019,UTEP,Conference USA,0.12,0.16,0.11,,,0.31,0.44,0.23,,
2019,UTSA,Conference USA,0.09,0.06,0.13,,,0.19,0.29,0.13,,
2019,Vanderbilt,SEC,0.04,-0.02,0.13,,,0.21,0.3,0.15,,
2019,Virginia,ACC,0.16,0.2,0.12,,,0.18,0.19,0.17,,
2019,Virginia Tech,ACC,0.16,0.37,0.04,,,0.1,0.12,0.09,,
2019,Wake Forest,ACC,0.16,0.34,0.04,,,0.16,0.29,0.04,,
2019,Washington,Pac-12,0.21,0.29,0.15,,,0.07,0.1,0.05,,
2019,Washington State,Pac-12,0.24,0.3,0.09,,,0.24,0.31,0.18,,
2019,Western Kentucky,Conference USA,0.14,0.22,0.07,,,0.1,0.17,0.04,,
2019,Western Michigan,Mid-American,0.25,0.3,0.21,,,0.14,0.21,0.09,,
2019,West Virginia,Big 12,0.06,0.19,-0.13,,,0.17,0.26,0.11,,
2019,Wisconsin,Big Ten,0.26,0.42,0.18,,,0.04,0.06,0.02,,
2019,Wyoming,Mountain West,0.15,0.1,0.18,,,0.05,0.17,-0.07,,
