Weight.x,Converted_Arm,Converted_Hand,Height,Weight.y,Dash40,Shuttle20,Vertical,Position_Group
226,31.375,9.25,74,202,4.55,4.13,38.2,WR
196,32.125,9.25,75,190,4.82,4.34,29.1,WR
201,30.375,9.875,71,197,4.49,4.15,37,WR
185,32.125,9.125,73,156,4.99,4.3,29.4,WR
189,30.375,9.375,71,176,4.55,4.12,33.5,WR
189,31.625,9.125,73,169,4.65,4.34,28.1,WR
228,33.75,9.375,77,206,NA,4.3,30.8,WR
247,34.125,10.25,77,220,5.19,4.64,24,TE
244,31.25,9.5,78,235,4.79,4.5,30.6,TE
300,32.375,9.25,73,287,5.22,4.6,28.8,OL
317,36.25,10,78,313,5.7,5.29,23.3,OL
321,33.5,9.25,76,290,5.5,5.52,23,OL
309,34,10.75,80,281,5.18,NA,27.2,OL
325,33.75,10.375,77,302,5.6,4.81,23.6,OL
324,33,9.5,75,338,5.33,4.81,25.1,OL
305,32,9.75,76,305,5.01,4.62,25.1,OL
315,31.75,9.75,76,276,5.09,4.4,29.3,OL
312,33.125,9.375,77,296,5.27,4.75,24.8,OL
315,32.25,9.375,78,285,5.12,4.65,35.5,OL
321,34.25,9.75,75,323,5.22,4.64,26,OL
317,33.25,10.25,77,295,5.44,4.97,24,OL
313,33.375,8.5,74,274,5.3,5.06,26.8,OL
321,34.25,10,76,336,5.27,4.76,26.8,DL
275,33.75,9.875,77,290,4.93,4.44,32.2,DL
309,33.5,10,75,258,5.16,4.75,26.5,DL
315,33,9.625,74,293,5.15,4.91,22.1,DL
314,31.5,10.125,76,341,NA,NA,NA,DL
311,33,9.375,75,348,5.24,4.8,24.7,DL
314,31.625,9.75,73,311,5.44,4.69,29.5,DL
329,33,9.125,75,339,NA,NA,20.6,DL
296,34.5,9.375,76,295,5.06,4.47,29,DL
297,34.375,9.75,76,262,4.95,4.61,34.9,DL
283,34,10,77,235,4.94,4.6,29,DL
269,33.75,10.375,75,225,4.77,4.41,37.3,DL
283,33.75,9.875,75,281,5.21,4.66,28.4,DL
280,32.875,10.25,74,265,4.7,4.44,36.2,DL
251,34.625,10.25,77,240,4.46,4,38.3,DL
281,33.5,10.25,77,240,4.85,4.37,30.9,DL
229,31.5,10.375,73,202,4.54,4.09,33.6,LB
250,34,10.375,77,234,4.6,4.32,40,LB
232,32.25,10,75,217,4.51,4.27,38.4,LB
227,32.125,9,73,183,4.63,4.16,32.7,LB
228,31,10.25,71,234,4.8,4.06,36.1,LB
236,32,9.625,75,220,4.39,4.19,39.7,LB
252,33.5,9,75,238,4.62,4.25,35.6,LB
226,32,9.375,75,195,4.69,NA,28.5,LB
223,31.125,9,73,201,4.55,4.19,35.8,LB
244,31.5,10,73,206,4.74,4.08,33.3,LB
237,33.125,10,72,215,4.98,4.54,32,LB
236,32,10,74,204,4.71,4.28,33.9,LB
232,33,8.875,75,205,4.59,4.09,35.6,LB
236,32,9.75,75,205,4.8,4.32,32,LB
236,32.375,9.5,73,210,4.79,4.33,27.5,LB
183,30.25,8.5,72,170,4.67,4.62,30.4,DB
199,31.5,9.25,72,196,4.35,3.83,35.9,DB
199,31.5,9.25,73,185,4.82,4.25,29.6,DB
206,32.75,8.5,73,182,4.67,4.5,36.1,DB
197,31.5,9,71,197,4.63,4.22,35.3,DB
190,29.75,9.125,70,180,4.57,4.22,31.5,DB
196,32,9.625,74,184,4.56,4.25,36.3,DB
189,30.875,8.75,70,181,NA,4.2,33,DB
178,29.5,8.75,71,170,4.69,4.84,31.4,DB
196,31.125,9.375,73,203,NA,4.46,25.5,DB
209,31.75,10.25,73,185,4.73,4.4,40,DB
200,31.25,9.25,71,191,4.57,4,33.6,DB
183,31.25,8.75,80,307,5.58,5.03,23.8,DB
204,31.25,9.375,73,194,4.54,3.87,37.4,DB
202,33.875,9,75,180,4.64,4.33,30.4,DB
216,32,8.625,73,209,4.58,4.28,32,DB
207,33.375,9.5,74,192,4.86,4.72,33.6,DB
215,33,9.5,74,202,4.52,4.27,36.9,DB
207,31.625,9.75,74,193,4.67,4.22,39.1,DB
186,31.375,8.875,72,180,NA,NA,31.2,DB
202,31,8.75,71,183,4.7,4.07,35,DB
209,31.25,8.125,70,179,4.67,4.15,28.1,DB
198,29.75,8.5,71,171,4.57,4.06,31.5,DB
229,32.25,9.5,76,204,4.87,4.2,35,QB
231,32.875,9.5,78,217,NA,4.75,24.6,QB
219,31.125,8.875,75,224,4.96,4.55,30.1,QB
222,31.75,9.75,74,208,4.85,4.34,30.9,QB
213,32.125,10.625,75,192,4.86,4.43,32,QB
224,32.625,10.5,75,179,5.13,4.85,30.4,QB
231,32.75,9.375,77,194,4.75,4.22,29,QB
229,33.375,9.75,76,210,NA,NA,31,QB
217,30.5,9.875,73,215,4.9,4.3,33.2,QB
198,31.5,9.25,72,196,4.35,3.83,35.9,WR
198,31.5,9.25,73,185,4.82,4.25,29.6,WR
220,33.375,8.875,77,200,NA,4.32,33.5,WR
238,32.5,9.875,77,214,4.6,4.53,32.8,WR
209,32.875,9.125,75,190,4.38,4.29,39.1,WR
201,31.375,9.5,75,181,4.57,4.26,31.6,WR
200,30.625,9.5,71,193,4.38,4.24,37.7,WR
212,32.25,9.5,75,209,4.53,4.31,37.7,WR
216,34.125,9.25,77,191,4.75,4.23,34,WR
196,29.125,9.25,73,194,4.59,3.93,37.1,WR
200,32.75,9.125,74,175,NA,4.53,NA,WR
215,31.625,9,75,186,NA,4.56,31.6,WR
193,32.125,9.5,73,180,4.55,4.2,37.4,WR
230,34.25,10.5,77,212,4.77,4.31,31.1,WR
212,33.5,10.125,74,200,4.45,4.18,38.8,WR
206,31.375,9.5,71,183,4.41,4.43,38.4,WR
197,30.625,9,72,185,4.75,4.27,33.7,WR
170,30.375,8.375,70,170,4.38,NA,NA,WR
257,33.25,9.75,77,272,5.08,4.61,31.1,TE
248,32,10,75,238,4.82,4.35,32.8,TE
242,33.5,9.125,77,227,4.69,4.58,36.2,TE
252,33.25,9.625,79,228,4.86,4.47,31.5,TE
257,32.875,10.5,77,224,5.06,4.51,31,TE
248,35.375,10.125,77,230,4.72,4.6,33,TE
244,31.125,9.5,77,220,4.76,4.44,31,TE
197,29.25,8.75,72,191,4.32,4.04,35.7,RB
217,30.625,9,71,213,4.41,4.09,40.6,RB
207,31.25,8.625,70,203,4.7,4.1,32.8,RB
209,29.75,9.5,70,201,4.44,4.09,43.1,RB
207,29,9.625,68,201,4.47,4.04,39.8,RB
208,30.375,8.875,69,203,4.53,4.04,32.8,RB
223,31.25,9.25,70,200,4.76,4.38,33.5,RB
232,32.125,10,75,219,4.75,4.23,36.3,RB
185,28.75,8.5,65,160,4.7,4.09,35.8,RB
226,31.125,9.5,71,208,4.42,4.3,34.4,RB
217,32.25,9.375,74,209,4.65,4.23,32.5,RB
314,33.625,9.625,75,257,5.14,4.76,23.4,OL
315,31.125,10.125,77,293,5.31,5.03,23.8,OL
300,32.25,10,77,250,5.17,4.63,28.6,OL
321,33,10,77,320,5.21,4.7,27,OL
311,33.375,9,78,293,5.31,4.87,25.3,OL
303,32.75,9.25,76,288,5.6,5.09,25,OL
302,32.125,9.75,73,272,5.41,4.76,28.8,OL
309,33.75,9.625,75,285,NA,4.9,22,OL
306,33.5,10.5,77,290,5.36,4.9,25.6,OL
316,33.875,10,78,270,5.31,4.52,28.3,OL
315,34.25,10.5,77,312,5.6,5.18,23.2,OL
307,33.125,11,75,321,5.26,4.66,28.7,OL
315,36.125,10.25,77,326,5.35,4.61,28.1,OL
317,32.5,9.5,77,270,NA,NA,24,OL
304,32.125,9.75,76,312,5.77,5.08,23.1,OL
312,34.25,10,77,318,5.19,4.75,26.3,OL
350,35.5,10.25,79,354,5.6,5.23,26,OL
320,34,10.25,77,290,5.29,5.03,25,OL
309,33.5,10.125,75,268,4.88,4.49,30.7,DL
290,32.375,9.75,75,326,5.32,4.61,25.1,DL
326,34.25,9,76,322,5.28,4.82,23.1,DL
313,32,9.625,74,270,NA,4.35,32,DL
308,31.5,9.75,74,260,NA,4.5,33,DL
311,33.875,11,80,318,5.49,4.84,26.2,EDGE
302,32.375,10.25,76,301,NA,4.35,25.3,DL
263,34,9.625,76,222,4.87,4.4,36.2,EDGE
320,33,9.75,76,285,5.62,4.91,25.7,DL
248,32.375,9.25,76,212,4.98,4.63,32.7,EDGE
289,31.875,9.875,77,282,4.97,4.3,29.3,EDGE
252,34.375,10.25,76,216,5.14,4.63,31.5,EDGE
262,32.875,9.75,75,252,NA,4.5,27.8,EDGE
264,32.375,9.25,75,220,4.84,4.6,32.1,EDGE
261,32.75,10,75,239,4.98,4.31,29.7,EDGE
275,32.375,10.125,76,247,5.01,4.6,31,DL
264,33.75,10,77,226,4.94,4.46,30.3,EDGE
235,31.5,9.375,73,215,NA,NA,33,LB
238,32.75,9.625,74,204,4.76,4.59,30.4,EDGE
240,32.875,9.125,76,256,NA,4.88,24.2,LB
233,34,9.5,77,199,NA,4.56,32,EDGE
280,33.75,10.25,78,269,4.76,4.67,26.7,EDGE
236,31.375,9.5,76,212,4.53,4.16,36.1,EDGE
242,33.625,9.5,74,213,4.83,4.47,29.6,EDGE
231,32.25,9.375,75,211,4.61,4.46,31.8,LB
224,29.375,10,71,200,4.61,4.43,35.3,EDGE
227,30.5,8.75,74,200,4.78,4.07,39.2,LB
262,33.875,9.875,74,206,4.75,4.37,32.6,EDGE
240,34,10.125,75,203,4.82,4.69,30.6,LB
241,32.75,9.5,74,215,4.68,4.34,34.6,LB
235,32.375,10,72,213,NA,NA,NA,LB
234,31.625,9.125,73,239,NA,NA,28.1,LB
229,31.625,10,73,209,4.72,4.38,37.4,LB
