Source_File,Name,Link,Height,Weight,Dash40,Shuttle20,Vertical,Position,SPARQ,Power_Throw
5,Torrance Gibson,https://www.espn.com/college-sports/football/recruiting/player/_/id/177244/torrance-gibson,77,207,4.55,4.38,34.9,at,103.35,37
5,Soso Jamabo,https://www.espn.com/college-sports/football/recruiting/player/_/id/182006/soso-jamabo,74,206,4.61,4.37,34.8,at,109.26,40
5,Terry Godwin,https://www.espn.com/college-sports/football/recruiting/player/_/id/166850/terry-godwin,72,170,4.66,4.34,34.3,at,80.28,33
5,Eric Glover-Williams,https://www.espn.com/college-sports/football/recruiting/player/_/id/169846/eric-glover-williams,69,166,4.68,4.62,33.6,at,74.76,32.5
5,Derrick Dillon,https://www.espn.com/college-sports/football/recruiting/player/_/id/174639/derrick-dillon,72,174,4.52,4.63,36.9,at,76.26,30
5,Isaiah Langley,https://www.espn.com/college-sports/football/recruiting/player/_/id/183226/isaiah-langley,72,165,4.51,3.91,32.5,at,96.57,29
5,Kirk Merritt,https://www.espn.com/college-sports/football/recruiting/player/_/id/174685/kirk-merritt,71,203,4.46,4.03,45.8,at,148.83,43
5,Ray-Ray McCloud III,https://www.espn.com/college-sports/football/recruiting/player/_/id/181795/ray-ray-mccloud-iii,70,178,NA,4.27,NA,at,NA,30
5,Shaun Crawford,https://www.espn.com/college-sports/football/recruiting/player/_/id/171774/shaun-crawford,70,170,4.5,4.03,36.6,at,113.55,36
5,Traveon Samuel,https://www.espn.com/college-sports/football/recruiting/player/_/id/167753/traveon-samuel,67,175,NA,NA,NA,at,NA,32
5,Donte Jackson,https://www.espn.com/college-sports/football/recruiting/player/_/id/174585/donte-jackson,71,170,4.69,4.84,31.4,at,66.75,34
5,Jaquan Johnson,https://www.espn.com/college-sports/football/recruiting/player/_/id/152296/jaquan-johnson,70,182,4.68,4.38,33.2,at,81.54,35
5,Jauan Jennings,https://www.espn.com/college-sports/football/recruiting/player/_/id/187883/jauan-jennings,75,186,NA,4.56,31.6,at,NA,29.5
5,Malik Dear,https://www.espn.com/college-sports/football/recruiting/player/_/id/182213/malik-dear,69,217,4.45,4.28,34.9,at,110.67,36.5
5,Jalen Julius,https://www.espn.com/college-sports/football/recruiting/player/_/id/191642/jalen-julius,71,172,4.55,4.15,33.5,at,86.4,34
5,D'Anfernee McGriff,https://www.espn.com/college-sports/football/recruiting/player/_/id/193730/danfernee-mcgriff,72,228,NA,NA,NA,at,NA,36
5,Ryan Davis,https://www.espn.com/college-sports/football/recruiting/player/_/id/169921/ryan-davis,70,157,4.75,4.2,30,at,NA,34.5
5,Juwuan Briscoe,https://www.espn.com/college-sports/football/recruiting/player/_/id/198041/juwuan-briscoe,72,182,4.43,4.25,34.3,at,107.97,36
5,Jordan Cronkrite,https://www.espn.com/college-sports/football/recruiting/player/_/id/173755/jordan-cronkrite,71,199,4.69,4.5,36,at,74.01,36
5,J.W. Ketchum,https://www.espn.com/college-sports/football/recruiting/player/_/id/178982/jw-ketchum,72,201,4.6,4.53,33.4,at,98.37,39
5,David Dowell,https://www.espn.com/college-sports/football/recruiting/player/_/id/173441/david-dowell,73,195,4.69,4.2,34,at,89.22,32.5
5,Tim Irvin,https://www.espn.com/college-sports/football/recruiting/player/_/id/167993/tim-irvin,69,190,NA,4.31,34,at,NA,36.5
5,Jaylin Hayward,https://www.espn.com/college-sports/football/recruiting/player/_/id/172126/jaylin-hayward,69,169,4.67,4.1,30,at,83.85,30.5
5,Morie Evans,https://www.espn.com/college-sports/football/recruiting/player/_/id/176149/morie-evans,71,180,4.58,4.34,32.7,at,90.96,34
5,Mike Hughes,https://www.espn.com/college-sports/football/recruiting/player/_/id/187862/mike-hughes,70,181,NA,4.2,33,at,NA,NA
5,Deshawn Capers-Smith,https://www.espn.com/college-sports/football/recruiting/player/_/id/174465/deshawn-capers-smith,72,173,5.09,4.44,35.2,at,53.04,37
5,Kavontae Turpin,https://www.espn.com/college-sports/football/recruiting/player/_/id/197158/kavontae-turpin,68,145,4.6,4.47,31.6,at,70.17,30
5,Jaason Lewis,https://www.espn.com/college-sports/football/recruiting/player/_/id/172492/jaason-lewis,76,241,4.71,4.46,30.3,at,94.26,36
5,Daiquan Kelly,https://www.espn.com/college-sports/football/recruiting/player/_/id/181824/daiquan-kelly,76,210,4.81,4.41,27.8,at,71.19,30
5,Armani Linton,https://www.espn.com/college-sports/football/recruiting/player/_/id/191375/armani-linton,74,198,4.62,4.25,30.6,at,91.38,33
5,Stephen Johnson,https://www.espn.com/college-sports/football/recruiting/player/_/id/185861/stephen-johnson,71,188,4.41,4.01,35.3,at,114.66,37
5,Octavis Johnson,https://www.espn.com/college-sports/football/recruiting/player/_/id/186948/octavis-johnson,73,181,4.58,4.63,31.3,at,67.83,27
5,Chris Williamson,https://www.espn.com/college-sports/football/recruiting/player/_/id/195803/chris-williamson,72,183,4.57,4.22,30.9,at,85.82,32
5,Jameson Houston,https://www.espn.com/college-sports/football/recruiting/player/_/id/197236/jameson-houston,72,180,4.57,4.62,29.1,at,70.05,31
5,TaQuon Marshall,https://www.espn.com/college-sports/football/recruiting/player/_/id/177352/taquon-marshall,70,170,4.72,4.04,32.4,at,82.83,32.5
5,Javarius Davis,https://www.espn.com/college-sports/football/recruiting/player/_/id/180483/javarius-davis,69,173,4.47,4.16,38,at,103.47,34
5,Cameron Myers,https://www.espn.com/college-sports/football/recruiting/player/_/id/190297/cameron-myers,71,175,5.01,4.47,28.3,at,60.06,31
5,Johnathon Johnson,https://www.espn.com/college-sports/football/recruiting/player/_/id/182226/johnathon-johnson,68,174,4.52,4.35,38,at,90.87,32
5,Dion Ray,https://www.espn.com/college-sports/football/recruiting/player/_/id/174680/dion-ray,72,185,4.52,4.43,31.4,at,85.26,33
5,Jonnas Spivey,https://www.espn.com/college-sports/football/recruiting/player/_/id/187875/jonnas-spivey,73,180,4.84,4.47,29.5,at,69.18,32
5,Dameon Baber,https://www.espn.com/college-sports/football/recruiting/player/_/id/179678/dameon-baber,70,180,4.7,4.58,27.9,at,51.48,36.5
5,Jocquez Bruce,https://www.espn.com/college-sports/football/recruiting/player/_/id/195857/jocquez-bruce,71,166,4.64,4.19,32,at,87.99,33
